group,name,city,address,metres_from_first,on_greenmeister,status,has_hours,menus,latest_menu,menu_archive,note,id
58,Vondel,Amsterdam,"Overtoom 451, Amsterdam",9,yes,open,yes,1,14 July 2026,5,Previously Tuintje,vondel
59,De Waterpijp,Apeldoorn,"Nieuwstraat 64, 7311 BT, Apeldoorn",0,no,open,no,1,,,,de-waterpijp-apeldoorn
59,The Future,Apeldoorn,"Nieuwstraat 64-A+B, Apeldoorn",9,yes,open,yes,1,,,,the-future-apeldoorn
60,NCC Power Flower,Apeldoorn,"Arnhemseweg 181, Apeldoorn",0,yes,open,yes,0,,,,ncc-power-flower-apeldoorn
60,Power Flower,Apeldoorn,"Arnhemseweg 181, 7331 BH, Apeldoorn",7,no,open,no,2,,,,power-flower-apeldoorn
61,PAX,Breda,"Nijverheidssingel 8, Breda",0,yes,open,yes,0,,,,pax-breda
61,Pax de Boot,Breda,"Nijverheidssingel 8, 4811 VS, Breda",5,no,open,no,2,,,,pax-de-boot-breda
62,Catweazle,Culemborg,"Kattenstraat 7, Culemborg",0,yes,open,yes,1,,,,catweazle-culemborg
62,Jupiter,Culemborg,"Kattenstraat 4, Culemborg",32,yes,open,yes,0,,,,jupiter-culemborg
63,Basra,Den Haag,"Weimarstraat 244, Den Haag",0,yes,open,yes,0,,,,basra-den-haag
63,Marbella Special Farmers,Den Haag,"Weimarstraat 244, Den Haag",0,yes,open,yes,1,,,,marbella-special-farmers-den-haag
64,Blue White,Den Haag,"Bosschestraat 63, Den Haag",0,yes,open,yes,0,,,,blue-white-den-haag
64,Blue and White,Scheveningen,"Bosschestraat 63, 2587 HC, Scheveningen",3,no,open,no,1,,,,blue-and-white-scheveningen
65,Boere Schuurtje,Den Haag,"Boerenstraat 89A, Den Haag",0,yes,open,yes,3,,,,boere-schuurtje-den-haag
65,Nebula,Den Haag,"Boerenstraat 89-a, 2572 HV, Den Haag",2,no,open,no,1,,,,nebula-den-haag
66,Café Cremers,Den Haag,"Prinsestraat 84, Den Haag",0,yes,open,yes,0,,,,cafe-cremers-den-haag
66,Cremers,Den Haag,"Prinsestraat 84, 2513 CG, Den Haag",5,no,open,no,1,,,,cremers-den-haag
67,Ganja,Den Haag,"Westduinweg 59, Den Haag",0,yes,open,yes,0,,,,ganja-den-haag
67,Koffiehuis Falkie,Den Haag,"Westduinweg 59, Den Haag",0,yes,open,yes,0,,,,koffiehuis-falkie-den-haag
68,Magic,Den Haag,"Gortstraat 6, Den Haag",0,yes,open,yes,1,,,,magic-den-haag
68,Sky 2,Den Haag,"Gortstraat 6, 2511 GK, Den Haag",1,no,open,no,1,,,,sky-2-den-haag
69,Moonlight,Den Haag,"Bilderdijkstraat 8-a, Den Haag",0,yes,open,yes,1,,,,moonlight-den-haag
69,Mr. J,Den Haag,"Bilderdijkstraat 8a, 2513 CP, Den Haag",1,no,open,no,1,,,,mr-j-den-haag
70,No Limit,Den Haag,"Witte de Withstraat 4-a, Den Haag",0,yes,open,yes,4,,,,no-limit-den-haag
