name,status,street,postcode,city,address,folder,logo_file,menu_count,archive_count,latest_menu,note,source_page
Bassment,closed,Oudezijds Achterburgwal 61,1012 DB,Amsterdam,"Oudezijds Achterburgwal 61, 1012 DB Amsterdam",Bassment,Bassment/logo.png,1,,1 September 2004,Historic coffeeshop,https://www.coffeeshopmenus.org/cs-bassment.html
Ben,closed,Kolksteeg 10,1012 PT,Amsterdam,"Kolksteeg 10, 1012 PT Amsterdam",Ben,Ben/logo.png,1,3,8 February 2012,Historic coffeeshop,https://www.coffeeshopmenus.org/cs-ben.html
Best Friends Centrum,closed,Huidenstraat 13a,1016 ER,Amsterdam,"Huidenstraat 13a, Amsterdam 1016 ER",Best Friends - II,Best Friends - II/logo.png,1,5,10 October 2018,"Previously Extreme and now closed. See also Best Friends Oost, which is still open.",https://www.coffeeshopmenus.org/cs-best-friends-centrum.html
Best Friends Oost,open,Niasstraat 1,1095 TS,Amsterdam,"Niasstraat 1, Amsterdam 1095 TS",Best Friends - II,Best Friends - II/logo.png,1,13,3 July 2026,,https://www.coffeeshopmenus.org/cs-best-friends-oost.html
Betty Boop,closed,Nieuwezijds Kolk 12,1012 PV,Amsterdam,"Nieuwezijds Kolk 12, 1012 PV Amsterdam",Betty Boop,Betty Boop/logo.png,1,18,6 April 2014,Historic coffeeshop,https://www.coffeeshopmenus.org/cs-betty-boop.html
Betty Two,open,Reguliersdwarsstraat 29,1017 BJ,Amsterdam,"Reguliersdwarsstraat 29, 1017 BJ Amsterdam",BettyTwo,BettyTwo/logo.png,1,14,9 August 2020,Later Easy Times 2,https://www.coffeeshopmenus.org/cs-betty-two.html
Biba,closed,Hazenstraat 15,1016 SM,Amsterdam,"Hazenstraat 15, 1016 SM Amsterdam",Biba,Biba/logo.jpg,1,10,13 October 2012,Historic coffeeshop,https://www.coffeeshopmenus.org/cs-biba.html
Bij,open,Bonairestraat 78,1058 XL,Amsterdam,"Bonairestraat 78, 1058 XL Amsterdam",Bij,Bij/logo.png,2,27,4 August 2025,,https://www.coffeeshopmenus.org/cs-bij.html
Blackstar,open,Rozengracht 1a,1016 LP,Amsterdam,"Rozengracht 1a, 1016 LP Amsterdam",Blackstar,Blackstar/logo.png,1,19,6 February 2026,,https://www.coffeeshopmenus.org/cs-black-star.html
Blue Lagoon,open,Overtoom 342,1054 JE,Amsterdam,"Overtoom 342, 1054 JE Amsterdam",Blue Lagoon,Blue Lagoon/logo.png,1,7,27 July 2026,,https://www.coffeeshopmenus.org/cs-blue-lagoon.html
Blue Sea,open,Van Woustraat 87,1074 AE,Amsterdam,"Van Woustraat 87, 1074 AE Amsterdam",Blue Sea,Blue Sea/logo.png,1,8,29 May 2026,,https://www.coffeeshopmenus.org/cs-blue-sea.html
Bluebird,open,Sint Antoniesbreestraat 71,1011 HB,Amsterdam,"Sint Antoniesbreestraat 71, 1011 HB Amsterdam",Bluebird,Bluebird/logo.png,1,39,21 April 2026,,https://www.coffeeshopmenus.org/cs-bluebird.html
Blues Brothers,closed,Nieuwendijk 89,1012 MC,Amsterdam,"Nieuwendijk 89, 1012 MC Amsterdam",BluesBrothers,BluesBrothers/logo.png,1,5,8 January 2014,Historic coffeeshop,https://www.coffeeshopmenus.org/cs-blues-brothers.html
Boerejongens Centrum,open,Utrechtsestraat 21,1017 VH,Amsterdam,"Utrechtsestraat 21, 1017 VH Amsterdam",BoerejongensC,BoerejongensC/logo.png,1,54,2 June 2026,Previously Stix,https://www.coffeeshopmenus.org/cs-boerejongens-cent.html
Boerejongens Sloterdijk,open,Humberweg 2,1043 AL,Amsterdam,"Humberweg 2, Amsterdam 1043 AL",BoerejongensD,BoerejongensD/logo.png,4,60,8 July 2026,,https://www.coffeeshopmenus.org/cs-boerejongens-slot.html
Boerejongens West,open,Baarsjesweg 239,1058 AA,Amsterdam,"Baarsjesweg 239, Amsterdam 1058 AA",Boerejonges,Boerejonges/logo.png,4,66,23 April 2026,,https://www.coffeeshopmenus.org/cs-boerejongens-west.html
Bronx,open,Marnixstraat 92,1015 VZ,Amsterdam,"Marnixstraat 92, 1015 VZ Amsterdam",Bronx,Bronx/logo.png,1,8,15 November 2024,,https://www.coffeeshopmenus.org/cs-bronx.html
Bulldog Energy,open,Oudezijds Voorburgwal 220,1012 GJ,Amsterdam,"Oudezijds Voorburgwal 220, Amsterdam 1012 GJ",Bulldog,Bulldog/logo.png,1,2,8 October 2024,,https://www.coffeeshopmenus.org/cs-bulldog-energy.html
Bulldog No. 90,open,Oudezijds Voorburgwal 90,1012 GG,Amsterdam,"Oudezijds Voorburgwal 90, Amsterdam 1012 GG",Bulldog,Bulldog/logo.png,1,9,30 April 2026,,https://www.coffeeshopmenus.org/cs-bulldog-no-90.html
Bulldog Palace,open,Leidseplein 17,1017 PS,Amsterdam,"Leidseplein 17, Amsterdam 1017 PS",Bulldog,Bulldog/logo.png,1,10,30 April 2026,,https://www.coffeeshopmenus.org/cs-bulldog-palace.html
Bulldog Port 26,open,Coenhavenweg 26,1013 BL,Amsterdam,"Coenhavenweg 26, Amsterdam 1013 BL",Bulldog,Bulldog/logo.png,2,6,10 June 2026,,https://www.coffeeshopmenus.org/cs-bulldogport26.html
Bulldog Rockshop,open,Singel 12,1013 GA,Amsterdam,"Singel 12, Amsterdam 1013 GA",Bulldog,Bulldog/logo.png,1,6,30 April 2026,,https://www.coffeeshopmenus.org/cs-bulldog-rockshop.html
Bullwackie,open,Woestduinstraat 76,1058 TJ,Amsterdam,"Woestduinstraat 76, 1058 TJ Amsterdam",Bullwacki,Bullwacki/logo.png,1,4,23 June 2026,,https://www.coffeeshopmenus.org/cs-bullwackie.html
Bushdocter,open,Thorbeckeplein 28,1017 CS,Amsterdam,"Thorbeckeplein 28, 1017 CS Amsterdam",Bushdoctor,Bushdoctor/logo.png,1,42,2 August 2026,,https://www.coffeeshopmenus.org/cs-bushdocter.html
