name,status,street,postcode,city,address,folder,logo_file,menu_count,archive_count,latest_menu,note,source_page
Het Gelderse,open,Geldersekade 54,1012 BK,Amsterdam,"Geldersekade 54, 1012 BK Amsterdam",het Gelderse,het Gelderse/logo.png,2,65,30 July 2026,,https://www.coffeeshopmenus.org/cs-gelderse.html
High Time,closed,Wijde Kerksteeg 3,1012 GW,Amsterdam,"Wijde Kerksteeg 3, 1012 GW Amsterdam",HighTimes,HighTimes/logo.png,1,3,25 September 2014,Historic coffeeshop,https://www.coffeeshopmenus.org/cs-high-time.html
Highway,closed,Lange Niezel 25,1012 GS,Amsterdam,"Lange Niezel 25, 1012 GS Amsterdam",Highway,Highway/logo.png,1,3,1 May 2012,Historic coffeeshop,https://www.coffeeshopmenus.org/cs-highway.html
Hill Street Blues,open,Warmoesstraat 52a,1012 JG,Amsterdam,"Warmoesstraat 52a, 1012 JG Amsterdam",Hill Street Blues,Hill Street Blues/logo.png,1,,1 June 2010,Now just a bar.,https://www.coffeeshopmenus.org/cs-hill-street-blues.html
Hill Street Blues OTM,open,Nieuwmarkt 14,1012 CR,Amsterdam,"Nieuwmarkt 14, 1012 CR Amsterdam",Hill Street Blues OTM,Hill Street Blues OTM/logo.png,2,8,23 April 2014,Later Greenhouse Effect,https://www.coffeeshopmenus.org/cs-hill-street-blues-otm.html
Homegrown Fantasy,closed,Nieuwezijds Voorburgwal 87a,1012 RE,Amsterdam,"Nieuwezijds Voorburgwal 87a, 1012 RE Amsterdam",Homegrown Fantasy,Homegrown Fantasy/logo.png,2,26,30 June 2014,Historic coffeeshop,https://www.coffeeshopmenus.org/cs-homegrown-fantasy.html
Hugo de Groot,open,Frederik Hendrikstraat 123,1052 HP,Amsterdam,"Frederik Hendrikstraat 123, 1052 HP Amsterdam",Hugo de Groot,Hugo de Groot/logo.png,1,6,23 October 2015,Later The Plug West,https://www.coffeeshopmenus.org/cs-hugo-de-groot.html
Hunter's Bar,open,Warmoesstraat 24,1012 JD,Amsterdam,"Warmoesstraat 24, Amsterdam 1012 JD",Hunters - Hunters Coffeeshop,Hunters - Hunters Coffeeshop/logo.png,1,26,21 February 2015,,https://www.coffeeshopmenus.org/cs-hunters-bar.html
Hunter's Downtown,open,Utrechtsestraat 14,1017 VN,Amsterdam,"Utrechtsestraat 14, Amsterdam 1017 VN",Hunters - Hunters Coffeeshop,Hunters - Hunters Coffeeshop/logo.png,1,4,24 November 2025,Previously Hunter's Rembrandtsquare,https://www.coffeeshopmenus.org/cs-huntersdowntown.html
Hunter's North - Papaverweg,open,Papaverweg 2,1032 KH,Amsterdam,"Papaverweg 2, Amsterdam 1032 KH",huntersnorth-papaverweg,huntersnorth-papaverweg/logo.png,1,3,2 October 2025,,https://www.coffeeshopmenus.org/cs-huntersnorthpapaverweg.html
Hunter's North - Waterlandplein,open,Waterlandplein 7,1024 LL,Amsterdam,"Waterlandplein 7, Amsterdam 1024 LL",huntersnorth-waterlandplein,huntersnorth-waterlandplein/logo.png,1,2,25 June 2025,,https://www.coffeeshopmenus.org/cs-huntersnorthwaterlandplein.html
Hunter's Rembrandtsquare,open,Utrechtsestraat 14,1017 VN,Amsterdam,"Utrechtsestraat 14, 1017 VN Amsterdam",Hunters - Hunters Coffeeshop,Hunters - Hunters Coffeeshop/logo.png,1,20,19 May 2025,Previously Sevilla and later Hunter's Downtown,https://www.coffeeshopmenus.org/cs-hunters-rembrandt.html
Hunter's West,open,Orteliusstraat 193,1056 NP,Amsterdam,"Orteliusstraat 193, Amsterdam 1056 NP",Hunters - Hunters Coffeeshop,Hunters - Hunters Coffeeshop/logo.png,1,11,25 July 2026,Previously Happiness. and Hunter's Mercatorsquare,https://www.coffeeshopmenus.org/cs-hunters-mercator.html
Ibiza,open,Hemonystraat 16,1074 BP,Amsterdam,"Hemonystraat 16, 1074 BP Amsterdam",Ibiza,Ibiza/logo.png,1,8,11 October 2024,,https://www.coffeeshopmenus.org/cs-ibiza.html
Johnny,open,Elandsgracht 3,1016 TM,Amsterdam,"Elandsgracht 3, 1016 TM Amsterdam",Johnny,Johnny/logo.png,1,69,18 September 2024,,https://www.coffeeshopmenus.org/cs-johnny.html
Jolly Joker,open,Nieuwmarkt 4a,1012 BC,Amsterdam,"Nieuwmarkt 4a, 1012 BC Amsterdam",Jolly Joker,Jolly Joker/logo.png,1,5,4 April 2026,,https://www.coffeeshopmenus.org/cs-jolly-joker.html
Jollygood,open,2e Laurierdwarsstraat 44,1016 RB,Amsterdam,"2e Laurierdwarsstraat 44, Amsterdam 1016 RB",MrKs,MrKs/logo.png,2,9,18 July 2026,Previously Mr. K's,https://www.coffeeshopmenus.org/cs-jollygood.html
Juice Bar de Watersnip,open,Lodewijk van Deysselstraat 37,1064 HL,Amsterdam,"Lodewijk van Deysselstraat 37, Amsterdam 1064 HL",Watersnip,Watersnip/logo.png,1,3,20 July 2026,,https://www.coffeeshopmenus.org/cs-watersnip.html
Kabouter,open,Ruysdaelkade 145,1072 AR,Amsterdam,"Ruysdaelkade 145, 1072 AR Amsterdam",Kabouter,Kabouter/logo.png,1,2,26 November 2013,Later Stones,https://www.coffeeshopmenus.org/cs-kabouter.html
Kadinsky,open,Rosmarijnsteeg 9,1012 RP,Amsterdam,"Rosmarijnsteeg 9, Amsterdam 1012 RP",Kadinsky,Kadinsky/logo.png,1,54,24 May 2026,,https://www.coffeeshopmenus.org/cs-kadinsky.html
Kadinsky 2,open,Zoutsteeg 14,1012 LX,Amsterdam,"Zoutsteeg 14, Amsterdam 1012 LX",Kadinsky,Kadinsky/logo.png,1,3,8 September 2025,,https://www.coffeeshopmenus.org/cs-kadinsky2.html
Kadinsky 3,open,Langebrugsteeg 7a,1012 GB,Amsterdam,"Langebrugsteeg 7a, Amsterdam 1012 GB",Kadinsky,Kadinsky/logo.png,1,,10 December 2024,,https://www.coffeeshopmenus.org/cs-kadinsky3.html
Kashmir Coffeeshop,open,Jan Pieter Heijestraat 82,1053 GS,Amsterdam,"Jan Pieter Heijestraat 82, Amsterdam 1053 GS",Kashmir Lounge,Kashmir Lounge/logo.png,1,7,19 March 2023,,https://www.coffeeshopmenus.org/cs-kashmir-coffeeshop.html
Kashmir Lounge (bar),open,Jan Pieter Heijestraat 85-87,1053 GM,Amsterdam,"Jan Pieter Heijestraat 85-87, 1053 GM Amsterdam",Kashmir Lounge,Kashmir Lounge/logo.png,1,4,30 October 2011,,https://www.coffeeshopmenus.org/cs-kashmir-lounge.html
Katsu,open,1e van der Helststraat 70,1072 NZ,Amsterdam,"1e van der Helststraat 70, Amsterdam 1072 NZ",Katsu,Katsu/logo.png,1,134,22 July 2026,,https://www.coffeeshopmenus.org/cs-katsu.html
Kooi,open,Amstelstraat 35,1017 DA,Amsterdam,"Amstelstraat 35, 1017 DA Amsterdam",Kooi,Kooi/logo.png,2,,2 April 2022,Previously Old Amsterdam and later New Times 2,https://www.coffeeshopmenus.org/cs-kooi.html
La Canna,closed,Nieuwendijk 123-125,1012 ME,Amsterdam,"Nieuwendijk 123-125, 1012 ME, Amsterdam",La Canna,La Canna/logo.png,1,,,Historic coffeeshop,https://www.coffeeshopmenus.org/cs-canna.html
La Tertulia,open,Prinsengracht 312,1016 HX,Amsterdam,"Prinsengracht 312, 1016 HX Amsterdam",La Tertulia,La Tertulia/logo.png,1,8,28 December 2024,,https://www.coffeeshopmenus.org/cs-tertulia.html
Little,closed,Vijzelgracht 47,1017 HP,Amsterdam,"Vijzelgracht 47, 1017 HP Amsterdam",Little,Little/logo.png,1,3,5 November 2009,Historic coffeeshop,https://www.coffeeshopmenus.org/cs-little.html
Loft,open,Jan van Galenstraat 285,1056 CA,Amsterdam,"Jan van Galenstraat 285, 1056 CA Amsterdam",Loft,Loft/logo.png,1,15,14 July 2026,,https://www.coffeeshopmenus.org/cs-loft.html
Magic,closed,Herengracht 287,1016 BL,Amsterdam,"Herengracht 287, 1016 BL Amsterdam",Magic,Magic/logo.png,1,3,27 April 2014,Historic coffeeshop,https://www.coffeeshopmenus.org/cs-magic-ams.html
Massawa,open,Chassestraat 4,1057 JD,Amsterdam,"Chassestraat 4, 1057 JD, Amsterdam",Massawa,Massawa/logo.png,1,7,20 August 2024,,https://www.coffeeshopmenus.org/cs-massawa.html
Mediterrane (Drewissharing),open,Spuistraat 80,1012 TX,Amsterdam,"Spuistraat 80, Amsterdam 1012 TX",Mediterrane,Mediterrane/logo.png,1,23,13 May 2026,,https://www.coffeeshopmenus.org/cs-mediterrane.html
Mellow Yellow,closed,Vijzelgracht 33,1017 HN,Amsterdam,"Vijzelgracht 33, 1017 HN Amsterdam",Mellow Yellow,Mellow Yellow/logo.png,2,20,26 November 2015,Historic coffeeshop,https://www.coffeeshopmenus.org/cs-mellow-yellow.html
Millennium,open,Jan Hanzenstraat 109,1053 SN,Amsterdam,"Jan Hanzenstraat 109, 1053 SN, Amsterdam",Millennium,Millennium/logo.png,1,3,22 April 2023,,https://www.coffeeshopmenus.org/cs-millennium.html
Mr. K's,open,2e Laurierdwarsstraat 44,1016 RB,Amsterdam,"2e Laurierdwarsstraat 44, Amsterdam 1016 RB",MrKs,MrKs/logo.png,1,37,21 August 2025,Previously Sanementereng and later Jollygood,https://www.coffeeshopmenus.org/cs-mr-k.html
Nachtegaal,open,Krugerplein 22,1091 KZ,Amsterdam,"Krugerplein 22, 1091 KZ Amsterdam",Nachtegaal,Nachtegaal/logo.png,1,,18 August 2022,,https://www.coffeeshopmenus.org/cs-nachtegaal.html
Nes Cafe,closed,Nes 33,1012 KC,Amsterdam,"Nes 33, 1012 KC Amsterdam",Nescafe,Nescafe/logo.png,1,6,1 January 2007,Historic coffeeshop,https://www.coffeeshopmenus.org/cs-nes-cafe.html
New Amsterdam,open,Hoofdweg 226,1057 DG,Amsterdam,"Hoofdweg 226, 1057 DG, Amsterdam",NieuwAmsterdam,NieuwAmsterdam/logo.png,2,5,28 August 2025,,https://www.coffeeshopmenus.org/cs-new-amsterdam.html
New Times,open,Spuistraat 260,1012 VW,Amsterdam,"Spuistraat 260, 1012 VW Amsterdam",New Times,New Times/logo.png,1,41,14 June 2026,,https://www.coffeeshopmenus.org/cs-new-times.html
New Times 2,open,Amstelstraat 35,1017 DA,Amsterdam,"Amstelstraat 35, Amsterdam 1017 DA",New Times,New Times/logo.png,1,2,31 March 2026,Previously Kooi,https://www.coffeeshopmenus.org/cs-newtimes2.html
Nice Dreams,open,Sint Antoniesbreestraat 77,1011 HB,Amsterdam,"Sint Antoniesbreestraat 77, Amsterdam 1011 HB",Nice Dreams,Nice Dreams/logo.png,1,,,Later Reefer,https://www.coffeeshopmenus.org/cs-nice-dreams.html
Nice Place,open,Van Ostadestraat 290,1073 TW,Amsterdam,"Van Ostadestraat 290, 1073 TW Amsterdam",NicePlace,NicePlace/logo.png,1,,25 April 2022,,https://www.coffeeshopmenus.org/cs-nice-place.html
Noon,open,Zieseniskade 22,1017 RT,Amsterdam,"Zieseniskade 22, 1017 RT Amsterdam",Noon,Noon/logo.png,1,14,26 August 2021,Later Terps Army 2,https://www.coffeeshopmenus.org/cs-noon.html
Noord,open,Ooievaarsweg 10,1021 GZ,Amsterdam,"Ooievaarsweg 10, 1021 GZ, Amsterdam",AmGenNoord,AmGenNoord/logo.png,1,4,17 June 2024,Previously 't Ooievaartje,https://www.coffeeshopmenus.org/cs-noord.html
Ocean,closed,Dusartstraat 57,1072 HP,Amsterdam,"Dusartstraat 57, 1072 HP Amsterdam",Ocean,Ocean/logo.png,1,,25 November 2010,Historic coffeeshop,https://www.coffeeshopmenus.org/cs-ocean.html
Old Amsterdam,open,Amstelstraat 35,1017 DA,Amsterdam,"Amstelstraat 35, Amsterdam 1017 DA",Old Amsterdam,Old Amsterdam/logo.png,1,5,19 April 2016,Later Kooi,https://www.coffeeshopmenus.org/cs-old-amsterdam.html
Old Church (original),open,Oudekerksplein 54,1012 HA,Amsterdam,"Oudekerksplein 54, Amsterdam 1012 HA",Old Church,Old Church/logo.png,4,10,1 October 2009,"Formerly a coffeeshop, now a bar. See also Old Church 2.",https://www.coffeeshopmenus.org/cs-old-church-1.html
Old Church 2,open,Amstel 8,1017 AA,Amsterdam,"Amstel 8, 1017 AA Amsterdam",Old Church,Old Church/logo.png,1,62,16 June 2026,,https://www.coffeeshopmenus.org/cs-old-church-2.html
Pacific,open,Balthasar Floriszstraat 10,1071 VC,Amsterdam,"Balthasar Floriszstraat 10, Amsterdam 1071 VC",Pacific,Pacific/logo.png,1,7,14 February 2026,,https://www.coffeeshopmenus.org/cs-pacific.html
Papillon,open,Van Der Helstplein 8,1072 PH,Amsterdam,"Van Der Helstplein 8, 1072 PH Amsterdam",Papillon,Papillon/logo.png,1,16,13 July 2026,,https://www.coffeeshopmenus.org/cs-papillon-ams.html
Paradox,open,1e Bloemdwarsstraat 2,1016 KS,Amsterdam,"1e Bloemdwarsstraat 2, 1016 KS Amsterdam",Paradox,Paradox/logo.png,1,46,11 September 2025,,https://www.coffeeshopmenus.org/cs-paradox.html
Picasso,open,Haarlemmerstraat 6,1013 ER,Amsterdam,"Haarlemmerstraat 6, Amsterdam 1013 ER",Picasso,Picasso/logo.png,2,8,26 September 2013,Later Amsterdamned,https://www.coffeeshopmenus.org/cs-picasso.html
Pick Up The Pieces,closed,Oude Hoogstraat 5,1012 CD,Amsterdam,"Oude Hoogstraat 5, 1012 CD Amsterdam",Pick Up The Pieces,Pick Up The Pieces/logo.png,1,3,26 September 2013,Historic coffeeshop,https://www.coffeeshopmenus.org/cs-pick-up-the-pieces.html
Pink Floyd,open,Haarlemmerstraat 44,1013 ES,Amsterdam,"Haarlemmerstraat 44, Amsterdam 1013 ES",Pink Floyd,Pink Floyd/logo.png,1,2,17 April 2007,Later Dampkring 2,https://www.coffeeshopmenus.org/cs-pink-floyd.html
Popeye,open,Haarlemmerstraat 63,1013 EK,Amsterdam,"Haarlemmerstraat 63, 1013 EK Amsterdam",Popeye,Popeye/logo.png,1,21,24 June 2026,,https://www.coffeeshopmenus.org/cs-popeye.html
Prix d'Ami,open,Haringpakkerssteeg 3,1012 LR,Amsterdam,"Haringpakkerssteeg 3, Amsterdam 1012 LR",Prix DAmi,Prix DAmi/logo.png,1,106,12 May 2026,,https://www.coffeeshopmenus.org/cs-prix-d-ami.html
ProGram,open,Daniel Stalpertstraat 78,1072 XK,Amsterdam,"Daniel Stalpertstraat 78, Amsterdam 1072 XK",program,program/logo.png,1,4,30 July 2026,Previously Superskunk 1,https://www.coffeeshopmenus.org/cs-program.html
Rasta Baby,closed,Prins Hendrikkade 6-7,1012 TK,Amsterdam,"Prins Hendrikkade 6-7, 1012 TK Amsterdam",Rasta Baby,Rasta Baby/logo.png,1,4,30 July 2010,Historic coffeeshop,https://www.coffeeshopmenus.org/cs-rasta-baby.html
Reefer,open,Sint Antoniesbreestraat 77,1011 HB,Amsterdam,"Sint Antoniesbreestraat 77, 1011 HB Amsterdam",Reefer,Reefer/logo.png,1,23,13 July 2026,Previously Nice Dreams,https://www.coffeeshopmenus.org/cs-reefer.html
Relax,open,Binnen Oranjestraat 9,1013 HZ,Amsterdam,"Binnen Oranjestraat 9, 1013 HZ Amsterdam",Relax,Relax/logo.png,3,55,13 July 2026,,https://www.coffeeshopmenus.org/cs-relax-ams.html
Relax Zuid,open,Vechtstraat 9,1078 RE,Amsterdam,"Vechtstraat 9, Amsterdam 1078 RE",Relax,Relax/logo.png,3,38,13 July 2026,,https://www.coffeeshopmenus.org/cs-relaxzuid.html
Republiek,open,2e Nassaustraat 1A,1052 BJ,Amsterdam,"2e Nassaustraat 1A, 1052 BJ, Amsterdam",Republiek,Republiek/logo.png,1,11,2 August 2026,,https://www.coffeeshopmenus.org/cs-republiek.html
Resin,open,Hekelveld 7,1012 SN,Amsterdam,"Hekelveld 7, 1012 SN Amsterdam",Resin,Resin/logo.png,1,11,29 July 2026,,https://www.coffeeshopmenus.org/cs-resin.html
Ricks Coffeeshop,open,Oudezijds Voorburgwal 250,1012 GK,Amsterdam,"Oudezijds Voorburgwal 250, Amsterdam 1012 GK",RicksCafe,RicksCafe/logo.png,1,,2 April 2022,,https://www.coffeeshopmenus.org/cs-ricks-cafe.html
Risky Business,open,Bos en Lommerweg 163,1055 DS,Amsterdam,"Bos en Lommerweg 163, 1055 DS Amsterdam",RiskyBusiness,RiskyBusiness/logo.png,1,3,23 June 2026,,https://www.coffeeshopmenus.org/cs-risky-business.html
Rock-It,open,Nieuwmarkt 12,1012 CR,Amsterdam,"Nieuwmarkt 12, 1012 CR Amsterdam",Rock-It,Rock-It/logo.png,1,8,25 February 2025,,https://www.coffeeshopmenus.org/cs-rock-it.html
Rockland,open,Raadhuisstraat 8,1016 DE,Amsterdam,"Raadhuisstraat 8, Amsterdam 1016 DE",Rockland,Rockland/logo.png,1,2,2 April 2022,,https://www.coffeeshopmenus.org/cs-rockland.html
Rokerij,closed,Lange Leidsedwarsstraat 41,1017 NG,Amsterdam,"Lange Leidsedwarsstraat 41, 1017 NG Amsterdam",Rokerij,Rokerij/logo.png,1,17,21 November 2011,Historic coffeeshop,https://www.coffeeshopmenus.org/cs-rokerij.html
Rookies,open,Korte Leidsedwarsstraat 145-147,1017 PZ,Amsterdam,"Korte Leidsedwarsstraat 145-147, 1017 PZ Amsterdam",Rookies,Rookies/logo.png,1,40,17 June 2026,,https://www.coffeeshopmenus.org/cs-rookies.html
Roots,open,Hoekenrode 14B,1102 BR,Amsterdam,"Hoekenrode 14B, 1102 BR Amsterdam",Roots,Roots/logo.png,1,3,27 December 2025,,https://www.coffeeshopmenus.org/cs-roots.html
Route 66,open,Warmoesstraat 77,1012 HX,Amsterdam,"Warmoesstraat 77, 1012 HX Amsterdam",Route 66,Route 66/logo.png,1,2,31 August 2012,,https://www.coffeeshopmenus.org/cs-route-66.html
Roxy,open,Gerard Doustraat 188,1073 XA,Amsterdam,"Gerard Doustraat 188, 1073 XA Amsterdam",Roxy,Roxy/logo.png,1,3,4 July 2024,,https://www.coffeeshopmenus.org/cs-roxy.html
Rusland,open,Rusland 16,1012 CL,Amsterdam,"Rusland 16, 1012 CL Amsterdam",Rusland,Rusland/logo.png,2,23,3 April 2019,Later The Plug XXX,https://www.coffeeshopmenus.org/cs-rusland.html
Ruthless,open,Hoofdweg 174,1057 DC,Amsterdam,"Hoofdweg 174, 1057 DC Amsterdam",Ruthless,Ruthless/logo.png,1,4,20 August 2024,,https://www.coffeeshopmenus.org/cs-ruthless.html
Saint,open,Regulierssteeg 2,1017 CP,Amsterdam,"Regulierssteeg 2, Amsterdam 1017 CP",Saint,Saint/logo.png,1,11,7 April 2026,,https://www.coffeeshopmenus.org/cs-saint.html
Sanementereng,open,2e Laurierdwarsstraat 44,1016 RB,Amsterdam,"2e Laurierdwarsstraat 44, 1016 RB Amsterdam",Sanementereng,Sanementereng/logo.png,1,,17 April 2009,Later Mr. K's,https://www.coffeeshopmenus.org/cs-sanementereng.html
Sativa,open,Spuistraat 118,1012 VA,Amsterdam,"Spuistraat 118, 1012 VA, Amsterdam",Sativa,Sativa/logo.png,1,43,14 July 2026,,https://www.coffeeshopmenus.org/cs-sativa.html
Sensemillia,open,Gillis van Ledenberchstraat 135-HS,1052 LE,Amsterdam,"Gillis van Ledenberchstraat 135-HS, Amsterdam 1052 LE",Sensemillia,Sensemillia/logo.png,1,,25 August 2025,,https://www.coffeeshopmenus.org/cs-sensemillia1.html
Sensemillia 2,open,Meer en Vaart 177/b,1068 LA,Amsterdam,"Meer en Vaart 177/b, 1068 LA Amsterdam",Sensemillia,Sensemillia/logo.png,1,7,18 January 2026,,https://www.coffeeshopmenus.org/cs-sensemillia-2.html
Sevilla,open,Utrechtsestraat 14,1017 VN,Amsterdam,"Utrechtsestraat 14, 1017 VN Amsterdam",Sevilla,Sevilla/logo.png,1,2,5 November 2009,Later Hunter's Rembrandtsquare,https://www.coffeeshopmenus.org/cs-sevilla.html
Siberie,open,Brouwersgracht 11,1015 GA,Amsterdam,"Brouwersgracht 11, 1015 GA Amsterdam",Siberie,Siberie/logo.png,1,65,19 July 2026,,https://www.coffeeshopmenus.org/cs-siberie.html
Smoke Palace,closed,Linnaeusstraat 83,1093 EK,Amsterdam,"Linnaeusstraat 83, Amsterdam 1093 EK",SmokePalace,SmokePalace/logo.png,1,5,16 August 2017,Historic coffeeshop,https://www.coffeeshopmenus.org/cs-smoke-palace.html
Smokerdam,open,Vechtstraat 63,1079 JA,Amsterdam,"Vechtstraat 63, 1079 JA Amsterdam",Smokerdam,Smokerdam/logo.png,1,4,16 September 2025,,https://www.coffeeshopmenus.org/cs-smokerdam.html
Smokey,open,Rembrandtplein 24,1017 CV,Amsterdam,"Rembrandtplein 24, 1017 CV Amsterdam",Smokey,Smokey/logo.png,1,3,2 February 2025,,https://www.coffeeshopmenus.org/cs-smokey-ams.html
Softland,open,Spuistraat 222,1012 VA,Amsterdam,"Spuistraat 222, 1012 VA Amsterdam",Softland,Softland/logo.png,1,14,27 September 2019,Later Tyson 2.0,https://www.coffeeshopmenus.org/cs-softland.html
Solo,open,Korte Koningsstraat 2,1011 GA,Amsterdam,"Korte Koningsstraat 2, 1011 GA Amsterdam",Solo,Solo/logo.png,1,56,15 July 2026,,https://www.coffeeshopmenus.org/cs-solo.html
Speakeasy,closed,Oudebrugsteeg 4,1012 JP,Amsterdam,"Oudebrugsteeg 4, 1012 JP Amsterdam",Speakeasy,Speakeasy/logo.png,1,,7 February 2013,Historic coffeeshop. New Speakeasy at 1e Oosterparkstraat is still open.,https://www.coffeeshopmenus.org/cs-speak-easy-ams.html
Speakeasy 2,open,1e Oosterparkstraat 47,1091 GV,Amsterdam,"1e Oosterparkstraat 47, 1091 GV Amsterdam",SpeakeasyNew,SpeakeasyNew/logo.png,1,2,18 August 2022,,https://www.coffeeshopmenus.org/cs-speak-easy-ams-2.html
Spirit,open,Westerstraat 121,1015 LZ,Amsterdam,"Westerstraat 121, Amsterdam 1015 LZ",Spirit,Spirit/logo.png,1,18,22 April 2026,,https://www.coffeeshopmenus.org/cs-spirit.html
Stix,open,Utrechtsestraat 21,1017 VH,Amsterdam,"Utrechtsestraat 21, 1017 VH Amsterdam",Stix,Stix/logo.png,4,5,19 November 2008,Later Boerejongens Centrum,https://www.coffeeshopmenus.org/cs-stix.html
Stones,open,Ruysdaelkade 145,1072 AR,Amsterdam,"Ruysdaelkade 145, Amsterdam 1072 AR",Stones Corner,Stones Corner/logo.png,1,5,11 October 2024,Previously Kabouter,https://www.coffeeshopmenus.org/cs-stones.html
Stones Corner,closed,Warmoesstraat 59,1012 HW,Amsterdam,"Warmoesstraat 59, Amsterdam 1012 HW",Stones Corner,Stones Corner/logo.png,1,9,24 April 2015,Historic coffeeshop,https://www.coffeeshopmenus.org/cs-stones-corner.html
Stud,open,Molukkenstraat 581,1095 BJ,Amsterdam,"Molukkenstraat 581, Amsterdam 1095 BJ",Stud,Stud/logo.png,1,101,13 July 2026,,https://www.coffeeshopmenus.org/cs-stud.html
SuperFly,open,Van Woustraat 193,1074 AN,Amsterdam,"Van Woustraat 193, Amsterdam 1074 AN",superfly,superfly/logo.png,2,,28 July 2026,Previously de Keeper,https://www.coffeeshopmenus.org/cs-superflyams.html
Superskunk,open,Prinsengracht 480,1017 KG,Amsterdam,"Prinsengracht 480, 1017 KG Amsterdam",Superskunk,Superskunk/logo.png,1,11,20 September 2025,Previously Tops,https://www.coffeeshopmenus.org/cs-superskunk-2.html
Superskunk 1,open,Daniel Stalpertstraat 78,1072 XK,Amsterdam,"Daniel Stalpertstraat 78, Amsterdam 1072 XK",Superskunk1,Superskunk1/logo.png,1,,24 February 2024,Previously Atlantis and later ProGram,https://www.coffeeshopmenus.org/cs-superskunk1.html
SWED a Snoop Dogg Store,open,Marnixstraat 333,1016 TC,Amsterdam,"Marnixstraat 333, Amsterdam 1016 TC",SWEDams,SWEDams/logo.png,1,8,2 February 2025,Previously Funky Munkey and later Tha Dogg House,https://www.coffeeshopmenus.org/cs-swedasnoopdoggstore.html
Tatanka,open,Korte Leidsedwarsstraat 151a,1017 PZ,Amsterdam,"Korte Leidsedwarsstraat 151a, Amsterdam 1017 PZ",Tatanka - Shrooms,Tatanka - Shrooms/logo.png,2,3,15 July 2014,,https://www.coffeeshopmenus.org/cs-tatanka.html
Terminator,open,Admiraal de Ruijterweg 104,1056 GP,Amsterdam,"Admiraal de Ruijterweg 104, Amsterdam 1056 GP",Terminator,Terminator/logo.png,1,2,21 June 2020,,https://www.coffeeshopmenus.org/cs-terminator.html
Terps Army,open,Nieuwe Nieuwstraat 32,1012 NH,Amsterdam,"Nieuwe Nieuwstraat 32, 1012 NH Amsterdam",TerpsArmy,TerpsArmy/logo.png,1,56,13 May 2026,Previously El Guapo. See also Terps Army 2,https://www.coffeeshopmenus.org/cs-terps-army.html
Terps Army 2,open,Zieseniskade 22,1017 RT,Amsterdam,"Zieseniskade 22, Amsterdam 1017 RT",TerpsArmy,TerpsArmy/logo.png,1,15,6 December 2025,Previously Noon. See also Terps Army,https://www.coffeeshopmenus.org/cs-terps-army-2.html
Tha Dogg House,open,Marnixstraat 333,1016 TC,Amsterdam,"Marnixstraat 333, Amsterdam 1016 TC",dogghouse,dogghouse/logo.png,1,6,3 July 2026,Previously SWED a Snoop Dogg Store,https://www.coffeeshopmenus.org/cs-dogghouse.html
Tha Dogg House 2,open,Oudebrugsteeg 26,1012 JP,Amsterdam,"Oudebrugsteeg 26, 1012 JP Amsterdam",dogghouse,dogghouse/logo.png,1,,28 February 2026,Previously de Kroon,https://www.coffeeshopmenus.org/cs-dogghouse2.html
The Border,open,Amstelveenseweg 1160,1081 JW,Amsterdam,"Amstelveenseweg 1160, Amsterdam 1081 JW",border,border/logo.png,3,,22 January 2025,,https://www.coffeeshopmenus.org/cs-border.html
The Coin,closed,Warmoesstraat 37,1012 HV,Amsterdam,"Warmoesstraat 37, Amsterdam 1012 HV",Coin,Coin/logo.png,1,3,1 June 2008,Historic coffeeshop,https://www.coffeeshopmenus.org/cs-coin.html
The Corner,open,Spaarndammerdijk 9,1013 ZM,Amsterdam,"Spaarndammerdijk 9, Amsterdam 1013 ZM",Corner,Corner/logo.png,1,7,3 February 2024,,https://www.coffeeshopmenus.org/cs-corner.html
The Doors,open,Singel 14,1013 GA,Amsterdam,"Singel 14, 1013 GA Amsterdam",Doors,Doors/logo.png,1,,23 September 2013,Later The Store,https://www.coffeeshopmenus.org/cs-doors.html
The Hit,open,Rusland 16,1012 CL,Amsterdam,"Rusland 16, Amsterdam 1012 CL",Hit,Hit/logo.png,2,12,5 August 2026,Previously The Plug XXX,https://www.coffeeshopmenus.org/cs-hit2.html
The Otherside,open,Reguliersdwarsstraat 6,1017 BM,Amsterdam,"Reguliersdwarsstraat 6, 1017 BM Amsterdam",Otherside,Otherside/logo.png,1,8,30 July 2025,,https://www.coffeeshopmenus.org/cs-otherside.html
The Plug Store,open,Singel 14,1013 GA,Amsterdam,"Singel 14, Amsterdam 1013 GA",Utopia,Utopia/logo.png,1,5,21 April 2026,Previously The Store,https://www.coffeeshopmenus.org/cs-plugstore.html
The Plug Utopia,open,Nieuwezijds Voorburgwal 132,1012 SH,Amsterdam,"Nieuwezijds Voorburgwal 132, Amsterdam 1012 SH",Utopia,Utopia/logo.png,1,145,13 May 2026,,https://www.coffeeshopmenus.org/cs-plug-utopia.html
The Plug West,open,Frederik Hendrikstraat 123,1052 HP,Amsterdam,"Frederik Hendrikstraat 123, Amsterdam 1052 HP",Utopia,Utopia/logo.png,1,7,9 September 2024,Previously Hugo de Groot. See also Plug XXX and Plug Utopia,https://www.coffeeshopmenus.org/cs-plug-west.html
